YEAR,JJA,JAS,ASO,SON,OND,NDJ,DJF,JFM,FMA,MAM,AMJ,MJJ,ENSO TYPE,El Niño,La Liña,Neutral
1950,-0.5,-0.4,-0.4,-0.4,-0.6,-0.8,-0.8,-0.5,-0.2,0.2,0.4,0.6,NEU,0,0,1
1951,0.7,0.9,1,1.2,1,0.8,0.5,0.4,0.3,0.3,0.2,0,ME,1,0,0
1952,-0.1,0,0.2,0.1,0,0.1,0.4,0.6,0.6,0.7,0.8,0.8,WE,1,0,0
1953,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.5,0,-0.4,-0.5,-0.5,WE,1,0,0
1954,-0.6,-0.8,-0.9,-0.8,-0.7,-0.7,-0.7,-0.6,-0.7,-0.8,-0.8,-0.7,WL,0,1,0
1955,-0.7,-0.7,-1.1,-1.4,-1.7,-1.5,-1.1,-0.8,-0.6,-0.5,-0.5,-0.5,ML,0,1,0
1956,-0.6,-0.6,-0.5,-0.4,-0.4,-0.4,-0.2,0.1,0.4,0.7,0.9,1.1,NEU,0,0,1
1957,1.3,1.3,1.3,1.4,1.5,1.7,1.8,1.7,1.3,0.9,0.7,0.6,SE,1,0,0
1958,0.6,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.3,0.2,-0.1,WE,1,0,0
1959,-0.2,-0.3,-0.1,0,0,0,-0.1,-0.1,-0.1,0,0,0,NEU,0,0,1
1960,0.1,0.2,0.3,0.2,0.1,0.1,0,0,0,0.1,0.2,0.3,NEU,0,0,1
1961,0.1,-0.1,-0.3,-0.3,-0.2,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.2,NEU,0,0,1
1962,0,-0.1,-0.1,-0.2,-0.3,-0.4,-0.4,-0.2,0.2,0.3,0.3,0.5,NEU,0,0,1
1963,0.9,1.1,1.2,1.3,1.4,1.3,1.1,0.6,0.1,-0.3,-0.6,-0.6,ME,1,0,0
1964,-0.6,-0.7,-0.8,-0.8,-0.8,-0.8,-0.6,-0.3,-0.1,0.2,0.5,0.8,WL,0,1,0
1965,1.2,1.5,1.9,2,2,1.7,1.4,1.2,1,0.7,0.4,0.2,SE,1,0,0
1966,0.2,0.1,-0.1,-0.1,-0.2,-0.3,-0.4,-0.5,-0.5,-0.4,-0.2,0,NEU,0,0,1
1967,0,-0.2,-0.3,-0.4,-0.3,-0.4,-0.6,-0.7,-0.6,-0.4,0,0.3,NEU,0,0,1
